id,name,price,image
1,canned beer,0.5,https://example.com/product.jpg
2,pickled vegetables,0.7,https://example.com/product.jpg
3,meat,0.9,https://example.com/product.jpg
4,yogurt,1.1,https://example.com/product.jpg
5,bottled beer,1.3,https://example.com/product.jpg
6,pastry,1.5,https://example.com/product.jpg
7,flower (seeds),1.7,https://example.com/product.jpg
8,house keeping products,1.9,https://example.com/product.jpg
9,rubbing alcohol,2.1,https://example.com/product.jpg
10,baby food,2.3,https://example.com/product.jpg
11,frankfurter,2.5,https://example.com/product.jpg
12,other vegetables,2.7,https://example.com/product.jpg
13,dishes,2.9,https://example.com/product.jpg
14,cream,3.1,https://example.com/product.jpg
15,pasta,3.3,https://example.com/product.jpg
16,soap,3.5,https://example.com/product.jpg
17,decalcifier,3.7,https://example.com/product.jpg
18,ham,3.9,https://example.com/product.jpg
19,baking powder,4.1,https://example.com/product.jpg
20,white wine,4.3,https://example.com/product.jpg
21,mustard,4.5,https://example.com/product.jpg
22,ice cream,4.7,https://example.com/product.jpg
23,rum,4.9,https://example.com/product.jpg
24,vinegar,5.1,https://example.com/product.jpg
25,liqueur,5.3,https://example.com/product.jpg
26,spread cheese,5.5,https://example.com/product.jpg
27,cleaner,5.7,https://example.com/product.jpg
28,dessert,5.9,https://example.com/product.jpg
29,herbs,6.1,https://example.com/product.jpg
30,pot plants,6.3,https://example.com/product.jpg
31,chewing gum,6.5,https://example.com/product.jpg
32,hair spray,6.7,https://example.com/product.jpg
33,shopping bags,6.9,https://example.com/product.jpg
34,skin care,7.1,https://example.com/product.jpg
35,curd cheese,7.3,https://example.com/product.jpg
36,canned fruit,7.5,https://example.com/product.jpg
37,beverages,7.7,https://example.com/product.jpg
38,artif. sweetener,7.9,https://example.com/product.jpg
39,frozen fruits,8.1,https://example.com/product.jpg
40,fruit/vegetable juice,8.3,https://example.com/product.jpg
41,long life bakery product,8.5,https://example.com/product.jpg
42,rolls/buns,8.7,https://example.com/product.jpg
43,cat food,8.9,https://example.com/product.jpg
44,condensed milk,9.1,https://example.com/product.jpg
45,whipped/sour cream,9.3,https://example.com/product.jpg
46,white bread,9.5,https://example.com/product.jpg
47,detergent,9.7,https://example.com/product.jpg
48,UHT-milk,9.9,https://example.com/product.jpg
49,frozen meals,10.1,https://example.com/product.jpg
50,tropical fruit,10.3,https://example.com/product.jpg
51,frozen vegetables,10.5,https://example.com/product.jpg
52,oil,10.7,https://example.com/product.jpg
53,jam,10.9,https://example.com/product.jpg
54,frozen fish,11.1,https://example.com/product.jpg
55,flower soil/fertilizer,11.3,https://example.com/product.jpg
56,preservation products,11.5,https://example.com/product.jpg
57,tea,11.7,https://example.com/product.jpg
58,specialty bar,11.9,https://example.com/product.jpg
59,nuts/prunes,12.1,https://example.com/product.jpg
60,napkins,12.3,https://example.com/product.jpg
61,tidbits,12.5,https://example.com/product.jpg
62,potato products,12.7,https://example.com/product.jpg
63,toilet cleaner,12.9,https://example.com/product.jpg
64,root vegetables,13.1,https://example.com/product.jpg
65,dish cleaner,13.3,https://example.com/product.jpg
66,sweet spreads,13.5,https://example.com/product.jpg
67,onions,13.7,https://example.com/product.jpg
68,misc. beverages,13.9,https://example.com/product.jpg
69,red/blush wine,14.1,https://example.com/product.jpg
70,seasonal products,14.3,https://example.com/product.jpg
71,cling film/bags,14.5,https://example.com/product.jpg
72,specialty cheese,14.7,https://example.com/product.jpg
73,semi-finished bread,14.9,https://example.com/product.jpg
74,dog food,15.1,https://example.com/product.jpg
75,whisky,15.3,https://example.com/product.jpg
76,canned vegetables,15.5,https://example.com/product.jpg
77,kitchen towels,15.7,https://example.com/product.jpg
78,liquor (appetizer),15.9,https://example.com/product.jpg
79,pudding powder,16.1,https://example.com/product.jpg
80,specialty chocolate,16.3,https://example.com/product.jpg
81,finished products,16.5,https://example.com/product.jpg
82,brown bread,16.7,https://example.com/product.jpg
83,softener,16.9,https://example.com/product.jpg
84,prosecco,17.1,https://example.com/product.jpg
85,ketchup,17.3,https://example.com/product.jpg
86,Instant food products,17.5,https://example.com/product.jpg
87,salt,17.7,https://example.com/product.jpg
88,male cosmetics,17.9,https://example.com/product.jpg
89,honey,18.1,https://example.com/product.jpg
90,baby cosmetics,18.3,https://example.com/product.jpg
91,soda,18.5,https://example.com/product.jpg
92,specialty vegetables,18.7,https://example.com/product.jpg
93,hygiene articles,18.9,https://example.com/product.jpg
94,specialty fat,19.1,https://example.com/product.jpg
95,cocoa drinks,19.3,https://example.com/product.jpg
96,female sanitary products,19.5,https://example.com/product.jpg
97,soups,19.7,https://example.com/product.jpg
98,cookware,19.9,https://example.com/product.jpg
99,margarine,20.1,https://example.com/product.jpg
100,citrus fruit,20.3,https://example.com/product.jpg
101,sugar,20.5,https://example.com/product.jpg
102,syrup,20.7,https://example.com/product.jpg
103,soft cheese,20.9,https://example.com/product.jpg
104,bags,21.1,https://example.com/product.jpg
105,zwieback,21.3,https://example.com/product.jpg
106,pork,21.5,https://example.com/product.jpg
107,organic products,21.7,https://example.com/product.jpg
108,whole milk,21.9,https://example.com/product.jpg
109,coffee,22.1,https://example.com/product.jpg
110,chocolate,22.3,https://example.com/product.jpg
111,sparkling wine,22.5,https://example.com/product.jpg
112,fish,22.7,https://example.com/product.jpg
113,newspapers,22.9,https://example.com/product.jpg
114,candy,23.1,https://example.com/product.jpg
115,pip fruit,23.3,https://example.com/product.jpg
116,popcorn,23.5,https://example.com/product.jpg
117,roll products,23.7,https://example.com/product.jpg
118,meat spreads,23.9,https://example.com/product.jpg
119,pet care,24.1,https://example.com/product.jpg
120,sound storage medium,24.3,https://example.com/product.jpg
121,berries,24.5,https://example.com/product.jpg
122,liquor,24.7,https://example.com/product.jpg
123,hamburger meat,24.9,https://example.com/product.jpg
124,flour,25.1,https://example.com/product.jpg
125,mayonnaise,25.3,https://example.com/product.jpg
126,salad dressing,25.5,https://example.com/product.jpg
127,snack products,25.7,https://example.com/product.jpg
128,beef,25.9,https://example.com/product.jpg
129,rice,26.1,https://example.com/product.jpg
130,frozen chicken,26.3,https://example.com/product.jpg
131,turkey,26.5,https://example.com/product.jpg
132,frozen dessert,26.7,https://example.com/product.jpg
133,instant coffee,26.9,https://example.com/product.jpg
134,sauces,27.1,https://example.com/product.jpg
135,dental care,27.3,https://example.com/product.jpg
136,light bulbs,27.5,https://example.com/product.jpg
137,processed cheese,27.7,https://example.com/product.jpg
138,cereals,27.9,https://example.com/product.jpg
139,make up remover,28.1,https://example.com/product.jpg
140,liver loaf,28.3,https://example.com/product.jpg
141,domestic eggs,28.5,https://example.com/product.jpg
142,cream cheese,28.7,https://example.com/product.jpg
143,brandy,28.9,https://example.com/product.jpg
144,curd,29.1,https://example.com/product.jpg
145,ready soups,29.3,https://example.com/product.jpg
146,organic sausage,29.5,https://example.com/product.jpg
147,photo/film,29.7,https://example.com/product.jpg
148,grapes,29.9,https://example.com/product.jpg
149,spices,30.1,https://example.com/product.jpg
150,butter,30.3,https://example.com/product.jpg
151,waffles,30.5,https://example.com/product.jpg
152,chocolate marshmallow,30.7,https://example.com/product.jpg
153,bottled water,30.9,https://example.com/product.jpg
154,sausage,31.1,https://example.com/product.jpg
155,nut snack,31.3,https://example.com/product.jpg
156,kitchen utensil,31.5,https://example.com/product.jpg
157,frozen potato products,31.7,https://example.com/product.jpg
158,canned fish,31.9,https://example.com/product.jpg
159,abrasive cleaner,32.1,https://example.com/product.jpg
160,hard cheese,32.3,https://example.com/product.jpg
161,candles,32.5,https://example.com/product.jpg
162,bathroom cleaner,32.7,https://example.com/product.jpg
163,salty snack,32.9,https://example.com/product.jpg
164,chicken,33.1,https://example.com/product.jpg
165,sliced cheese,33.3,https://example.com/product.jpg
166,packaged fruit/vegetables,33.5,https://example.com/product.jpg
167,cooking chocolate,33.7,https://example.com/product.jpg
168,cake bar,33.9,https://example.com/product.jpg
169,butter milk,34.1,https://example.com/product.jpg
